來源,序號,業者代碼,國語,臺灣台語_羅馬字,臺灣台語_第二羅馬字,臺灣台語_漢字建議,臺灣台語_說明,臺灣客語_羅馬字,臺灣客語_漢字建議,臺灣客語_說明,音檔
臺灣鐵路站名,1,0900,基隆,Ke-lâng,Kue-lâng,鷄籠,,giˊ lungˇ,,,1_基隆.mp3
臺灣鐵路站名,2,0910,三坑,Sann-khenn-á,Sann-khinn-á,三坑仔,現行播音（以下簡作現）：Sam-khenn。經田野調查（以下簡作田調）修正。,samˊ hangˊ,,,2_三坑.mp3
臺灣鐵路站名,3,0920,八堵,Peh-tóo,Pueh-tóo,,,badˋ duˋ,,,3_八堵.mp3
臺灣鐵路站名,4,0930,七堵,Tshit-tóo,,,,qidˋ duˋ,,,4_七堵.mp3
臺灣鐵路站名,5,0940,百福,Pah-hok,,,,bagˋ fugˋ,,,5_百福.mp3
臺灣鐵路站名,6,0950,五堵,Gōo-tóo,,,,ngˋ duˋ,,,6_五堵.mp3
臺灣鐵路站名,7,0960,汐止,Si̍k-tsí,,,當地唸作Si̍p-tsí或Si̍t-tsí。,xib ziiˋ,,現：xidˋ ziiˋ,7_汐止.mp3
臺灣鐵路站名,8,0970,汐科,Si̍k-kho,(Si̍k-kho),,現：首字未變調。,xib koˊ,,現：xidˋ koˊ,8_汐科.mp3
臺灣鐵路站名,9,0980,南港,Lâm-káng,(Lâm-káng),,,namˇ gongˋ,,,9_南港.mp3
臺灣鐵路站名,10,0990,松山,Siông-san,(Siông-san),,,qiungˇ sanˊ,,,10_松山.mp3
臺灣鐵路站名,11,1000,臺北,Tâi-pak,(Tâi-pak),,,toiˇ bedˋ,,,11_臺北.mp3
臺灣鐵路站名,12,1010,萬華,Báng-kah,,艋舺,採現。,van faˇ,,,12_萬華.mp3
臺灣鐵路站名,13,1020,板橋,Pang-kiô,(Pang-kiô),枋橋,採現。,biongˊ kieuˇ,枋橋,,13_板橋.mp3
臺灣鐵路站名,14,1030,浮洲,Phû-tsiu-á,(Phû-tsiu-á),浮洲仔,現：Phû-tsiu。經田調修正。,feuˇ zuˊ,,,14_浮洲.mp3
臺灣鐵路站名,15,1040,樹林,Tshiū-nâ-á,,樹林仔,採現。,su limˇ,,,15_樹林.mp3
臺灣鐵路站名,16,1050,南樹林,Lâm-tshiū-nâ,(Lâm-tshiū-nâ),,採現。,namˇ su limˇ,,,16_南樹林.mp3
臺灣鐵路站名,17,1060,山佳,Suann-á-kha,(Suann-á-kha),山仔跤,採現。,sanˊ gaˊ,,,17_山佳.mp3
臺灣鐵路站名,18,1070,鶯歌,Ing-ko,(Ing-ko),,,enˊ goˊ,,,18_鶯歌.mp3
臺灣鐵路站名,19,1080,桃園,Thô-hn̂g,(Thô-hn̂g),,,toˇ ienˇ,,,19_桃園.mp3
臺灣鐵路站名,20,1090,內壢,Lāi-li̍k,(Lāi-li̍k),,現：Lāi-li̍k33。,nui lagˋ,,現：nui lag,20_內壢.mp3
臺灣鐵路站名,21,1100,中壢,Tiong-li̍k,(Tiong-li̍k),,現：Tiong-li̍k33。,zungˊ lagˋ,,,21_中壢.mp3
臺灣鐵路站名,22,1110,埔心,Poo-sim,,,,puˊ ximˊ,,現：buˇ ximˊ,22_埔心.mp3
臺灣鐵路站名,23,1120,楊梅,Iûnn-muî,(Iûnn-muî),,教典又收錄Iûnn-buê。,iongˇ moiˇ,,,23_楊梅.mp3
臺灣鐵路站名,24,1130,富岡,Hù-kong,,,,fu gongˊ,,,24_富岡.mp3
臺灣鐵路站名,25,1140,新富,Sin-hù,,,,xinˊ fu,,,25_新富.mp3
臺灣鐵路站名,26,1150,北湖,Pak-ôo,,,,bedˋ fuˇ,,現：bedˋ fu,26_北湖.mp3
臺灣鐵路站名,27,1160,湖口,Ôo-kháu,(Ôo-kháu),,,fuˇ kieuˋ,,,27_湖口.mp3
臺灣鐵路站名,28,1170,新豐,Sin-hong,,,,xinˊ fungˊ,,,28_新豐.mp3
臺灣鐵路站名,29,1180,竹北,Tik-pak,,,,zugˋ bedˋ,,,29_竹北.mp3
臺灣鐵路站名,30,1190,北新竹,Pak-sin-tik,,,,bedˋ xinˊ zugˋ,,,30_北新竹.mp3
臺灣鐵路站名,31,1210,新竹,Sin-tik,,,,xinˊ zugˋ,,,31_新竹.mp3
臺灣鐵路站名,32,1220,三姓橋,Sam-sìng-kiô,(Sam-sìng-kiô),,,samˊ xiang kieuˇ,,,32_三姓橋.mp3
臺灣鐵路站名,33,1230,香山,Hiong-san,,,又唸作Hiang-san（漳）。,hiongˊ sanˊ,,,33_香山.mp3
臺灣鐵路站名,34,1240,崎頂,Kiā-tíng,,,,gia dangˋ,,,34_崎頂.mp3
臺灣鐵路站名,35,1250,竹南,Tik-lâm,,,,zugˋ namˇ,,,35_竹南.mp3
臺灣鐵路站名,36,2110,談文,Tām-bûn-ôo,(Tām-bûn-ôo),淡文湖,現：Tam-bûn，唯門牌仍作舊稱；田調採集俗稱「淡文湖仔」（Tām-bûn-ôo-á）。,tamˇ vunˇ,,,36_談文.mp3
臺灣鐵路站名,37,2120,大山,Tuā-suann-kha,,大山跤,現：Tāi-san。,tai sanˊ,,,37_大山.mp3
臺灣鐵路站名,38,2130,後龍,Āu-lâng,,後壠,採現。,heu lungˇ,後壠,,38_後龍.mp3
臺灣鐵路站名,39,2140,龍港,Lîng-káng,(Lîng-káng),,"現：Liông-káng，依田調更正1經田調發現龍港車站位於後龍鎮龍津里，「龍」3字發音均不同。；另站旁聯港派出所疑為lîng之轉音：ing>eng>ian。
經田調發現龍港車站位於後龍鎮龍津里，「龍」3字發音均不同。",liungˇ gongˋ,,,39_龍港.mp3
臺灣鐵路站名,40,2150,白沙屯,Pe̍h-sua-tun,,白沙墩,現：Pe̍h-sua-tūn。,pag saˊ doiˊ,白沙堆,現：pag saˇ tunˊ。,40_白沙屯.mp3
臺灣鐵路站名,41,2160,新埔,Sin-poo,,,,xinˊ puˊ,,現：xinˇ buˊ,41_新埔.mp3
臺灣鐵路站名,42,2170,通霄,Thong-siau,,,,tungˊ seuˊ,,,42_通霄.mp3
臺灣鐵路站名,43,2180,苑裡,Uán-lí,,,,vanˊ liˇ,,現：van liˊ、太魯閣：vanˊ liˇ,43_苑裡.mp3
臺灣鐵路站名,44,2190,日南,Ji̍t-lâm,Li̍t-lâm,,,ngidˋ namˇ,,,44_日南.mp3
臺灣鐵路站名,45,2200,大甲,Tāi-kah,,,現：Tai-kah。,tai gabˋ,,,45_大甲.mp3
臺灣鐵路站名,46,2210,臺中港,Tâi-tiong-káng,(Tâi-tiong-káng),,當地地名實為Kah-lâm（甲南）。,toiˇ zungˊ gongˋ,,,46_臺中港.mp3
臺灣鐵路站名,47,2220,清水,Tshing-tsuí,,,80 歲層又唸作Tshing-suí，現罕用。,qinˊ suiˋ,,,47_清水.mp3
臺灣鐵路站名,48,2230,沙鹿,Sua-lak,,沙轆,,saˊ lug,,,48_沙鹿.mp3
臺灣鐵路站名,49,2240,龍井,Liông-tsénn,Liông-tsínn,,現：Liông33-tsínn；當地又唸作Lîng-tsínn，源自龍目井。,liungˇ jiangˋ,,,49_龍井.mp3
臺灣鐵路站名,50,2250,大肚,Tuā-tōo,,,,tai duˋ,,,50_大肚.mp3
臺灣鐵路站名,51,2260,追分,Tui-hun,,,源自日語「追い分け」，意指分歧點。,zuiˊ funˊ,,現：duiˇ funˊ，改採文讀zuiˊ。,51_追分.mp3
臺灣鐵路站名,52,3360,彰化,Tsiong-huà,,,當地偏漳腔又唸作Tsiang-huà。,zongˊ fa,,,52_彰化.mp3
臺灣鐵路站名,53,3370,花壇,Hue-tuânn,,,,faˊ tanˇ,,,53_花壇.mp3
臺灣鐵路站名,54,3380,大村,Tāi-tshuan,,,現：Tuā-tsng（大庄）；唯站址位於大村鄉過溝村蓮花池，偏離市區，故仍採鄉名。,tai cunˊ,,,54_大村.mp3
臺灣鐵路站名,55,3390,員林,Uân-lîm,(Uân-lîm),,,ienˇ limˇ,,,55_員林.mp3
臺灣鐵路站名,56,3400,永靖,Íng-tsīng,,,永靖腔老派唸作Éng-tsēng、新派Én-tsēn。,iunˋ qin,,,56_永靖.mp3
臺灣鐵路站名,57,3410,社頭,Siā-thâu,,,,sa teuˇ,,,57_社頭.mp3
臺灣鐵路站名,58,3420,田中,Tiân-tiong,(Tiân-tiong),,昔稱Tshân-tiong-ng（田中央）。,tienˇ zungˊ,,,58_田中.mp3
